,0
0,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/outras-estatisticas-economicas-nao-especificadas-anteriormente/9021-as-entidades-de-assistencia-social-privadas-sem-fins-lucrativos-no-brasil.html
1,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/outras-estatisticas-economicas-nao-especificadas-anteriormente/9023-as-fundacoes-privadas-e-associacoes-sem-fins-lucrativos-no-brasil.html
2,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/outras-estatisticas-economicas-nao-especificadas-anteriormente/9123-as-micro-e-pequenas-empresas-comerciais-e-de-servicos-no-brasil.html
3,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/grupos-populacionais-especificos/9372-caracteristicas-etnico-raciais-da-populacao.html
4,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9069-caracterizacao-do-setor-produtivo-de-flores-e-plantas-ornamentais-no-brasil.html
5,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9827-censo-agropecuario.html
6,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/9663-censo-demografico-2000.html
7,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/caracteristicas-gerais-da-populacao/9662-censo-demografico.html
8,https://www.ibge.gov.br/estatisticas-novoportal/economicas/metodos-e-classificacoes/classificacoes-e-listas-estatisticas/9078-classificacao-nacional-de-atividades-economicas.html
9,https://www.ibge.gov.br/estatisticas-novoportal/economicas/metodos-e-classificacoes/classificacoes-e-listas-estatisticas/9147-classificacao-por-grandes-categorias-economicas.html
10,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9056-conta-satelite-de-saude.html
11,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/condicoes-de-vida-pobreza-e-desigualdade/9065-contagem-da-populacao.html
12,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9300-contas-nacionais-trimestrais.html
13,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9054-contas-regionais-do-brasil.html
14,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/grupos-populacionais-especificos/9290-criancas-e-adolecentes.html
15,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9068-demografia-das-empresas.html
16,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/turismo/9081-economia-do-turismo.html
17,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9025-economia-informal-urbana.html
18,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/trabalho/trabalho-remunerado/9342-educacao-e-trabalho.html
19,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-multidominio-e-meio-ambiente/estatisticas-multidominio/empreendedorismo/9145-estatisticas-de-empreendedorismo.html
20,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-macroeconomicas/contas-nacionais/9083-conta-intermediaria-do-governo.html
21,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/comercio/estatisticas-do-cadastro-central-de-empresa9016ovo-portal/estatisticas/estatisticas-economicas/estatisticas-economicas-setoriais/comercio/estatisticas-do-cadastro-central-de-empresas.html
22,https://www.ibge.gov.br/estatisticas-novoportal/economicas/estatisticas-economicas/estatisticas-economicas-setoriais/agricultura-pecuaria-producao-florestal-pesca-e-aquicultura/9046-estatisticas-do-cafe-no-estado-do-parana.html
23,https://www.ibge.gov.br/estatisticas-novoportal/economicas/demografia-e-estatisticas-sociais/populacao/componentes-da-dinamica-demografica-e-estatisticas-vitais/9110-estatisticas-do-registro-civil.html
